                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1789,                  4.149,                 4.2037,                0.00422,                0.68386,                0.02361,                0.00594,                  2.946,                 4.0813,                 4.1084,             0.00040761,             0.00040761,             0.00040761
                      2,                 3.0056,                 3.9364,                 3.8644,                0.00685,                0.58449,                0.01426,                0.00476,                 3.6387,                 4.3073,                 4.8809,             0.00081612,             0.00081612,             0.00081612
                      3,                   2.88,                 3.8595,                 3.5393,                0.77313,                0.05184,                0.02871,                  0.008,                 2.7817,                 4.2942,                 3.5235,              0.0012164,              0.0012164,              0.0012164
                      4,                 2.7439,                 3.6983,                 3.2924,                0.53193,                 0.0459,                0.02199,                0.00585,                 2.6108,                 3.7929,                 3.3169,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.5877,                 3.6229,                 3.1512,                0.55395,                0.09537,                0.04199,                0.01274,                 2.4021,                 3.9015,                 3.0669,              0.0012129,              0.0012129,              0.0012129
                      6,                 2.4603,                 3.4781,                  3.012,                0.52986,                0.10999,                0.03574,                 0.0114,                 2.4872,                 4.8748,                 3.1145,              0.0012005,              0.0012005,              0.0012005
                      7,                 2.3062,                  3.354,                 2.8912,                0.02601,                0.15402,                0.02471,                0.00896,                 2.1499,                  4.985,                 2.9148,              0.0011881,              0.0011881,              0.0011881
                      8,                 2.1947,                 3.2073,                 2.7763,                0.32067,                0.13764,                0.06796,                0.02538,                 2.0246,                 3.4393,                 2.7251,              0.0011757,              0.0011757,              0.0011757
                      9,                 2.0558,                 3.1133,                 2.6737,                0.35514,                0.26466,                0.12934,                0.05651,                   2.01,                  3.468,                 2.7526,              0.0011634,              0.0011634,              0.0011634
                     10,                 2.0688,                 3.0331,                 2.6316,                0.56901,                0.21272,                0.09536,                0.03709,                 2.0171,                 4.3606,                 2.7273,               0.001151,               0.001151,               0.001151
                     11,                 1.9314,                 2.9957,                  2.526,                0.35755,                0.34781,                0.11598,                0.04265,                 2.0604,                 4.8279,                 2.7778,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.9115,                 2.8764,                 2.4404,                0.08993,                0.24871,                0.13462,                0.06293,                 1.8165,                 2.9195,                 2.4515,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.8266,                 2.7805,                   2.38,                0.35791,                0.21374,                0.13562,                0.05918,                 1.8298,                 2.8231,                 2.4993,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.7638,                  2.717,                 2.3268,                0.44522,                0.26312,                0.15826,                0.07849,                 1.7437,                 2.7241,                  2.366,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.7566,                 2.7069,                  2.311,                0.37284,                0.36213,                0.15383,                 0.0809,                 1.8231,                   2.93,                 2.4633,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.7097,                 2.6301,                 2.2483,                0.40963,                0.30637,                0.16824,                 0.0911,                 1.6378,                 2.5031,                 2.2343,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.6885,                 2.5618,                  2.218,                0.18487,                0.36909,                0.17649,                0.09523,                  1.549,                 2.5093,                 2.1414,              0.0010644,              0.0010644,              0.0010644
                     18,                   1.66,                 2.5278,                  2.191,                0.42012,                0.34342,                0.17988,                0.09732,                 1.6289,                  2.475,                 2.2262,               0.001052,               0.001052,               0.001052
